"","filename","Species","IndCode","IndLeafCode","Dry","length","width","height","hull_volume"
"193","casyf1-1dry.xyz","CASYf","CASYf1","CASYf1-1","Yes",92.4712718450999,18.327574307387,12.1315313232115,8683.26313260763
"194","casyf1-2.xyz","CASYf","CASYf1","CASYf1-2","No",91.7419111791452,28.3870758768679,17.1192571772731,19764.9064212905
"195","casyf1-2dry.xyz","CASYf","CASYf1","CASYf1-2","Yes",82.0382855860865,20.1505460027253,16.4731518427351,9476.47253962063
"196","casyf2-1.xyz","CASYf","CASYf2","CASYf2-1","No",95.4154529322342,29.4594038687479,18.4357419112402,18515.4392407923
"197","casyf2-1dry.xyz","CASYf","CASYf2","CASYf2-1","Yes",90.5027842610545,15.6693371626505,12.197890950233,7322.83568512981
"198","casyf2-2.xyz","CASYf","CASYf2","CASYf2-2","No",78.2535776894826,28.8791350145913,10.7413685244685,10747.7015284506
"199","casyf2-2dry.xyz","CASYf","CASYf2","CASYf2-2","Yes",70.0399075711858,16.2284423104157,11.2869488883023,5266.45694165558
"200","casyf3-1.xyz","CASYf","CASYf3","CASYf3-1","No",75.0293183599018,23.9089370017072,9.11194389055833,6580.97421567559
"201","casyf3-1dry.xyz","CASYf","CASYf3","CASYf3-1","Yes",65.0619299416116,18.1520536782414,16.2960276963471,8692.49240132548
"202","casyf3-2.xyz","CASYf","CASYf3","CASYf3-2","No",69.0334047231528,25.4627613383626,12.5417449690334,7225.36769275391
"203","casyf3-2dry.xyz","CASYf","CASYf3","CASYf3-2","Yes",74.0947943891385,16.1694428236285,13.522960212049,7072.51600315377
"204","casys1-1.xyz","CASYs","CASYs1","CASYs1-1","No",91.8775923099677,19.0752724915856,12.982383045754,8873.73985399364
"205","casys1-1dry.xyz","CASYs","CASYs1","CASYs1-1","Yes",87.0426311180008,18.0436178589018,11.2087169003668,7422.68279542554
"206","casys1-2.xyz","CASYs","CASYs1","CASYs1-2","No",74.5117187885816,18.5680143976499,14.9202071213771,7339.89620403626
"207","casys1-2dry.xyz","CASYs","CASYs1","CASYs1-2","Yes",65.7610911039385,16.5379471085864,9.68772183246216,4750.66891304739
"208","casys2-1.xyz","CASYs","CASYs2","CASYs2-1","No",61.6660307770641,16.547619649877,14.4379060129123,5102.43997780232
