"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","Scanned","X3D","IndLeafCode.1","DryL","DryW","DryH","DryTH","X3D.1","DryWeight","Pixels","Areacm2","SLAcm2g.1","X","X.1","X.2","X.3","X.4","FG"
"109","CASYs3-1","CASYs",6.25,1.17,1.87,0.17,0.36,"YES","YES","CASYs3-1",6.32,1.05,0.61,0.13,"YES",0.122,148906,10.67424388,87.49380233,"",NA,NA,NA,NA,"S"
"110","CASYs3-2","CASYs",6.66,1.43,2.02,0.2,0.32,"YES","YES","CASYs3-2",6.69,1.21,0.63,0.16,"YES",0.135,169796,12.17173193,90.16097725,"",NA,NA,NA,NA,"S"
"111","CHLA1-1","CHLA",8.25,1.44,1.15,0.38,0.93,"YES","YES","CHLA1-1",8.21,0.69,0.91,0.25,"YES",0.163,170322,12.20943795,74.90452728,"",NA,NA,NA,NA,"F"
"112","CHLA1-2","CHLA",6.8,1.55,0.25,0.35,0.79,"YES","YES","CHLA1-2",6.59,1.23,0.68,0.3,"YES",0.099,92708,6.645721476,67.12849975,"",NA,NA,NA,NA,"F"
"113","CHLA2-1","CHLA",6.97,1.63,0.2,0.37,0.7,"YES","YES","CHLA2-1",6.13,1.15,0.94,0.2,"YES",0.108,105438,7.558264453,69.98393012,"",NA,NA,NA,NA,"F"
"114","CHLA2-2","CHLA",6.6,1.38,0.2,0.38,0.81,"YES","YES","CHLA2-2",6.98,8.28,0.39,0.31,"YES",0.061,69502,4.982212258,81.67561078,"",NA,NA,NA,NA,"F"
"115","CHLA3-1","CHLA",7.92,1.97,0.59,0.37,0.7,"YES","YES","CHLA3-1",7.37,1.38,0.74,0.23,"YES",0.099,125332,8.984354791,90.7510585,"",NA,NA,NA,NA,"F"
"116","CHLA3-2","CHLA",7.8,2.06,1.47,0.34,0.73,"YES","YES","CHLA3-2",6.86,1,1.03,0.21,"YES",0.151,153767,11.02270197,72.99802628,"",NA,NA,NA,NA,"F"
"117","COLA1-1","COLA",5.63,2.49,0.74,0.17,0.34,"YES","YES","COLA1-1",5.27,2.56,0.73,0.13,"YES",0.151,163447,11.71660739,77.59342643,"",NA,NA,NA,NA,"G"
"118","COLA1-2","COLA",3.3,1.9,0.92,0.19,0.16,"YES","YES","COLA1-2",3.68,1.95,0.55,0.19,"YES",0.062,85685,6.142281622,99.06905842,"",NA,NA,NA,NA,"G"
"119","COLA2-1","COLA",3.8,2.34,0.47,0.1,0.11,"YES","YES","COLA2-1",3.41,2.41,0.72,0.13,"YES",0.08,101571,7.281060707,91.01325883,"replaced fresh measurements with 3d scan measurements. bad calipers? Original fresh values 1.49, 0.98,0.17,0.05. sf 090619",NA,NA,NA,NA,"G"
"120","COLA2-2","COLA",3.11,2.27,0.36,0.12,0.15,"YES","YES","COLA2-2",3.25,2.07,0.41,0.11,"YES",0.065,85312,6.115543324,94.08528191,"replaced fresh measurements with 3d scan measurements. bad calipers? Original fresh values 1.39, 0.89,0.47,0.06. sf 090619",NA,NA,NA,NA,"G"
"121","COLA3-1","COLA",6.55,3.5,0.57,0.16,0.25,"YES","YES","COLA3-1",6.02,3.49,0.6,0.14,"YES",0.22,249408,17.87867392,81.26669964,"",NA,NA,NA,NA,"G"
"122","COLA3-2","COLA",5.21,3.2,0.27,0.16,0.18,"YES","YES","COLA3-2",4.76,3.1,1.09,0.15,"YES",0.149,181868,13.03710654,87.49735934,"",NA,NA,NA,NA,"G"
"123","CRFL1-1","CRFL",16.86,6.66,4.03,0.31,5.21,"YES","YES","CRFL1-1",11.9,4.01,2.68,0.19,"YES",0.711,1105137,79.22113188,111.4221264,"",NA,NA,NA,NA,"F"
