Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
TAOC,3,,,6/17/2019,11:11,5,5.3,4.8,5.033333333,47.5,22.5,27.5,32.5,150,8.3,0.944666667,38.84,18.71,561.8,529.1,577,557.8,578.6,647.5,0.163,0.176,262,483,688,1,0.1695,0.002825,49.69622103,
GOPO,3,,,6/17/2019,11:27,7.4,7.6,7.4,7.466666667,67.5,55,65,62.5,150,7.3,0.951333333,52.15,21.19,464.3,659.6,524.3,597.8,609.7,639.5,0.313,0.158,144,259,487,1,0.2355,0.003925,69.53423763,
TACA,3,,,6/17/2019,11:48,6.5,6.5,6.4,6.466666667,47.5,60,62.5,56.66666667,150,28.1,0.812666667,39.94,19.5,593,572.2,607.5,473.2,436.4,639.5,0.238,0.273,180,331,463,1,0.2555,0.004258333,64.44339666,
STRO,3,,,6/17/2019,12:03,3.5,3.8,3.1,3.466666667,0,0,0,0,150,147.3,0.018,0,0.177,38.57,31.07,27.75,29.43,29.43,51,0,0,0,0,0,1,0,0,0,
MYTO,2,,,6/19/2019,8:40,5.5,6,5.9,5.8,27.5,30,32.5,30,150,14.7,0.902,15.54,11.37,442.9,444.5,321.7,436.5,390.7,620.3,0.138,0.189,294,554,744,1,0.1635,0.002725,45.7719449,
POTO,2,,,6/19/2019,8:56,12.7,12.3,12.3,12.43333333,67.5,57.5,65,63.33333333,150,16.1,0.892666667,26.63,18.05,613,684.7,531.6,707.4,283,635.5,0.391,0.22,158,250,414,1,0.3055,0.005091667,84.63999021,
AMIN,2,,,6/19/2019,9:09,11,11.3,11.7,11.33333333,65,60,72.5,65.83333333,150,4.6,0.969333333,65.47,25.63,450.7,441.1,604.2,722,529.1,748.1,0.462,0.279,147,225,354,1,0.3705,0.006175,111.4644639,
MILI,3,,,6/19/2019,9:22,2.5,2.4,3.3,2.733333333,0,0,0,0,150,149.3,0.004666667,0,0.059,27.04,24.52,22.84,22.84,24.52,37.07,0,0,0,0,0,1,0,0,0,
MIAL,3,,,6/19/2019,9:30,4.8,4.9,5.1,4.933333333,27.5,25,27.5,26.66666667,150,30,0.8,13.32,8.67,414.8,370.4,435.7,408.4,286.4,525.3,0.132,0.149,377,649,890,1,0.1405,0.002341667,34.88521333,
TAGU,2,,,6/19/2019,9:48,5,4.9,5.1,5,0,0,0,0,150,149.7,0.002,0,0.157,28.04,23.85,22.16,23.85,23.85,28.04,0,0,0,0,0,1,0,0,0,
PIAX,2,,,6/19/2019,10:02,19.4,21.7,21.6,20.9,105,110,105,106.6666667,150,12.03,0.9198,79.9,30.21,696.3,779.7,790.5,702.8,615.7,767.4,1.029,0.514,121,156,226,1,0.7715,0.012858333,220.2441631,
PEOB,2,,,6/19/2019,10:13,6.7,7.8,5.7,6.733333333,37.5,32.5,42.5,37.5,150,22.8,0.848,25.52,10.31,503.7,454.9,614.8,480.5,311,570.7,0.143,0.243,260,511,659,1,0.193,0.003216667,50.79585013,
TOFO,2,,,6/19/2019,10:34,9.4,9.3,10.8,9.833333333,57.5,57.5,62.5,59.16666667,150,10.2,0.932,44.39,31.44,519.5,498.8,615.5,578.7,567.5,743.3,0.245,0.424,192,339,424,1,0.3345,0.005575,96.7580498,
PRHE,1,,yes,6/19/2019,10:51,12,10.8,10,10.93333333,62.5,62.5,70,65,150,9.5,0.936666667,59.92,25.42,477.2,494,552.3,637.2,545.9,624.3,0.346,0.336,129,233,340,1,0.341,0.005683333,99.13214789,
