Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Ouratea spectabilis,OUSP,3,RR10458,48.82,1.60,0.101,0.504,0.697,0.236,62,61,
Pera obovata,PEOB,1,RR10459,49.11,2.14,0.094,0.779,0.627,0.343,72,61,
Pera obovata,PEOB,2,RR10460,49.03,2.41,0.113,0.569,0.621,0.326,67,55,
Pera obovata,PEOB,3,RR10461,49.57,1.98,0.092,0.682,0.332,0.229,83,67,
Persea willdenovii,PEWI,1,RR10582,49.28,1.56,0.097,0.492,0.392,0.162,77,83,
Piptocarpha axillaris,PIAX,1,RR10462,44.86,2.62,0.119,0.834,0.354,0.130,192,210,
Piptocarpha axillaris,PIAX,2,RR10463,45.71,2.92,0.127,0.802,0.261,0.120,208,229,
Piptocarpha axillaris,PIAX,3,RR10464,45.87,3.14,0.128,0.587,0.202,0.146,235,275,
Piptocarpha rotundifolia,PIRO,1,RR10465,41.25,1.56,0.082,0.259,0.421,0.230,110,129,
Platypodium elegans,PLEL,1,RR10466,48.99,2.92,0.095,0.424,0.305,0.167,152,165,
Platypodium elegans,PLEL,2,RR10467,47.98,3.32,0.112,0.392,0.279,0.085,114,122,
Platypodium elegans,PLEL,3,RR10468,47.76,3.60,0.133,1.317,0.332,0.191,271,293,
Plenckia populnea,PLPO,1,RR10469,51.21,1.40,0.082,1.338,0.276,0.257,97,74,
Plenckia populnea,PLPO,2,RR10470,49.67,1.46,0.079,0.436,0.418,0.338,128,114,
Plenckia populnea,PLPO,3,RR10471,49.53,1.53,0.085,0.303,0.371,0.318,69,52,
Platymenia reticulata,PLRE,1,RR10583,49.70,2.63,0.100,0.552,0.112,0.125,114,106,
Platymenia reticulata,PLRE,2,RR10584,49.04,2.60,0.107,0.678,0.134,0.134,117,113,
Platymenia reticulata,PLRE,3,RR10585,49.57,2.60,0.095,0.617,0.104,0.127,173,175,
Pouteria torta,POTO,1,RR10472,48.22,1.34,0.069,0.321,0.235,0.135,91,89,
Pouteria torta,POTO,2,RR10473,48.83,1.53,0.077,0.255,0.186,0.119,92,88,
Pouteria torta,POTO,3,RR10474,50.59,1.28,0.070,0.280,0.539,0.236,81,88,
Protium heptaphyllum,PRHE,1,RR10475,46.80,1.57,0.106,0.828,0.217,0.177,36,21,
Protium heptaphyllum,PRHE,2,RR10476,46.35,1.60,0.083,0.748,1.201,0.219,107,100,
Protium heptaphyllum,PRHE,3,RR10477,46.32,1.89,0.095,0.891,0.408,0.161,111,110,
Prunus myrtifolia,PRMY,1,RR10586,48.46,1.67,0.093,0.358,1.288,0.398,54,65,
Qualea cordata,QUCO,1,RR10587,44.53,1.11,0.087,0.684,0.473,0.193,52,4219,
