IndCode,LeafNum,L,W,H,Comments,,
ZIMO1,4,13.82,2.72,2.22,,,
GOBA1,3,13.38,2.67,2.22,,,
LUGR1,5,9.16,6.96,2.22,,,
ERGR2,2,12.35,5.67,2.22,,,
OCCO1,5,8.08,1.01,2.21,,,
SYRE2,5,8.17,3.20,2.21,,,
GUNI2,1,10.69,2.30,2.21,,,
DUFU2,4,12.86,4.83,2.20,,,
MISE1,4,9.73,3.14,2.20,,,
ERSU1,4,8.09,2.60,2.19,,,
AMIN2,2,12.26,4.98,2.19,,,
TAGU3,2,7.75,2.32,2.19,,,
BYLA1,2,12.39,4.00,2.19,,,
OCMI3,1,9.60,3.07,2.19,,,
AMIN1,1,16.20,5.24,2.18,,,
ERTO2,5,10.97,2.41,2.18,,,
TAGU3,4,9.15,2.01,2.18,,,
GUVI1,2,17.00,6.40,2.18,,,
BARU3,4,9.78,9.65,2.17,,,
QUMU1,5,10.40,3.40,2.15,,,
MIAL2,2,7.41,5.04,2.15,,,
ALED1,1,12.65,4.71,2.15,,,
CUVE1,3,12.81,3.70,2.14,,,
GOPO1,5,16.70,1.65,2.14,,,
MISE1,5,9.19,2.89,2.14,,,
ANCR2,2,10.68,5.55,2.14,,,
CAGU3,4,9.09,2.75,2.14,,,
BYLA3,1,10.08,3.32,2.14,,,
MISE2,4,8.86,2.31,2.14,,,
AESE1,3,28.80,9.50,2.13,,,
ERDE1,4,10.17,3.18,2.13,,,
MYTO2,3,9.34,5.37,2.13,,,
PIRO2,5,15.80,8.76,2.13,,,
MYFE1,2,8.72,1.36,2.13,,,
LUCA2,1,8.07,3.76,2.13,,,
CAGU1,2,6.63,3.32,2.12,,,
LUGR1,1,14.36,7.91,2.12,,,
KICO3,2,16.20,5.38,2.12,,,
MISE3,5,7.41,2.17,2.12,,,
MILI1,1,5.38,1.94,2.11,,,
GOBA2,4,10.03,9.13,2.11,,,
TAOC2,3,11.15,4.77,2.10,,,
SYPU2,4,7.94,3.21,2.10,,,
NECU3,2,19.40,3.22,2.10,,,
TAAU5,5,9.70,4.60,2.09,,,
KICO2,5,18.10,5.30,2.09,,,
PRHE3,4,10.82,3.84,2.09,,,
OCPU1,5,8.08,3.48,2.09,,,
PLPO3,4,7.80,6.07,2.08,,,
TAOC2,1,10.10,2.40,2.07,,,
NECU2,5,12.68,4.74,2.07,,,
ERSU3,4,8.50,3.47,2.06,,,
STPO1,5,7.88,1.92,2.06,,,
TEGL3,5,11.63,4.25,2.06,,,
PEOB3,3,5.78,3.27,2.05,,,
MYLI2,5,15.16,3.04,2.05,,,
MYUM2,3,12.08,3.79,2.05,,,
TAOC2,4,15.60,2.43,2.04,,,
OUSP2,4,9.66,4.38,2.04,,,
GUNI1,4,12.20,3.70,2.03,,,
GOBA3,5,9.60,3.36,2.03,,,
PRHE3,2,13.70,3.90,2.03,,,
ANCA1,3,15.70,2.65,2.03,,,
ANCA1,4,20.00,4.72,2.03,,,
FAMO1,4,14.33,4.43,2.03,,,
DAFA1,3,20.80,1.82,2.03,,,
TOAC3,5,10.83,2.32,2.00,,,
LUGR1,3,8.17,6.89,2.00,,,
POTO2,1,18.90,7.90,1.99,,,
ERSU2,5,9.85,4.05,1.99,,,
MYLI2,2,8.33,0.77,1.99,,,
LAHA1,3,9.23,3.03,1.99,,,
GOBA1,2,11.97,2.95,1.98,,,
ERSU2,1,8.72,3.24,1.98,,,
ALED2,3,9.44,3.48,1.98,,,
ANCA3,2,16.80,4.01,1.98,,,
NECU1,4,14.38,3.42,1.97,,,
DAFA1,1,14.50,1.05,1.97,,,
BYLA3,3,10.99,2.69,1.97,,,
MYFE1,3,10.02,1.22,1.97,,,
LUGR3,2,9.45,5.87,1.97,,,
MITO1,1,9.15,3.55,1.96,,,
QUGR3,3,17.80,6.75,1.96,,,
OCPU1,1,9.18,4.26,1.96,,,
MYFE1,4,10.37,0.82,1.96,,,
SIGU3,1,11.89,7.16,1.95,,,
NECU3,3,19.00,2.73,1.95,,,
CAGU2,3,8.94,3.24,1.95,,,
LAHA3,5,12.20,3.16,1.95,,,
STCA3,1,10.28,2.95,1.95,,,
TAGU1,3,10.49,3.32,1.94,,,
ERSU3,3,8.10,3.81,1.94,,,
ERSU3,2,8.33,3.95,1.93,,,
MYTO3,3,7.36,3.48,1.93,,,
DAFA2,1,14.22,1.60,1.93,,,
OCMI3,5,11.93,3.10,1.93,,,
ERTO2,3,13.56,2.78,1.92,,,
CUVE3,2,10.70,4.08,1.92,,,
XYAR3,4,7.65,0.88,1.92,,,
MAGU3,4,5.67,2.82,1.91,,,
CAGU2,2,8.80,2.89,1.91,,,
MYGU1,4,10.69,6.72,1.90,,,
GOPO3,4,12.10,4.08,1.90,,,
TACA3,2,10.06,1.75,1.90,,,
SIGU5,4,10.60,4.47,1.89,,,
PORA3,1,18.30,5.14,1.89,,,
NECU1,1,10.53,2.93,1.88,,,
TAOC2,5,12.15,2.01,1.88,,,
MIAL2,5,9.89,4.71,1.88,,,
CASYf1,4,8.80,1.52,1.87,,,
MAAC2,3,7.72,1.93,1.87,,,
BARU1,2,11.11,10.32,1.87,,,
GOPO3,2,8.99,3.20,1.85,,,
PRHE1,3,15.10,3.88,1.85,,,
LUGR3,3,10.54,7.12,1.85,,,
GOPO1,4,13.43,2.39,1.84,,,
SCVI1,2,11.75,3.29,1.84,,,
ERTO2,4,12.45,2.79,1.84,,,
XYAR3,2,10.84,2.82,1.84,,,
KICO2,2,16.10,6.10,1.83,,,
CAAD3,2,8.74,1.99,1.83,,,
ZEMO3,1,9.73,2.17,1.83,,,
GUNI2,4,8.66,1.82,1.83,,,
STPO3,4,11.70,3.93,1.83,,,
DUFU1,5,8.31,3.23,1.82,,,
MYUM2,4,11.03,3.76,1.82,,,
BARU1,3,11.12,10.60,1.82,,,
KICO1,2,12.98,2.31,1.81,,,
VOTU1,4,7.54,1.27,1.81,,,
TAGU2,4,8.73,2.60,1.81,,,
STCA2,1,9.28,3.96,1.81,,,
AEVE3,3,16.00,5.50,1.80,,,
SCVI1,5,12.60,2.55,1.80,,,
TOAC3,2,11.68,2.59,1.80,,,
TOFO2,1,11.83,6.34,1.80,,,
ASTO2,5,12.09,5.96,1.80,,,
STPO1,2,7.47,2.69,1.80,,,
ANCA2,3,19.40,3.57,1.80,,,
STCA1,3,9.21,3.69,1.80,,,
CUVE3,5,14.57,4.22,1.79,,,
LAHA3,2,12.66,2.65,1.79,,,
CASYf1,3,7.37,1.99,1.78,,,
ALED1,5,11.03,5.09,1.78,,, 
ALED2,2,12.30,4.43,1.78,,,
BYLA2,3,11.68,4.87,1.78,,,
ANCA3,3,18.30,5.30,1.78,,,
GOPO1,2,14.21,2.80,1.77,,,
MIAL1,1,9.78,4.04,1.77,,,
AMIN2,5,12.18,4.10,1.77,,,
PRHE2,3,10.43,4.00,1.77,,,
ERSU3,1,8.59,3.78,1.77,,,
CUVE3,3,10.07,4.00,1.77,,,
STPO3,3,9.81,1.88,1.77,,,
LUCA1,1,12.87,6.99,1.77,,,
PEOB1,1,6.61,4.08,1.76,,,
TAGU3,3,10.35,3.29,1.76,,,
NECU3,4,17.80,2.91,1.76,,,
MYFE3,3,9.61,2.10,1.76,,,
CASYf1,5,5.90,2.02,1.75,,,
OCCO1,1,9.25,1.83,1.75,,,
OCCO2,3,7.40,2.16,1.75,,,
GUNI1,5,11.00,4.20,1.75,,,
GOPO2,2,10.43,4.70,1.75,,,
ERDE3,1,8.09,2.65,1.75,,,
